1946,2,This Side of Innocence,Taylor Caldwell
1945,2,The Robe,Lloyd C. Douglas
1944,2,The Robe,Lloyd C. Douglas
1943,2,The Valley of Decision,Marcia Davenport
1942,2,The Moon Is Down,John Steinbeck
1941,2,Random Harvest,James Hilton
1940,2,Kitty Foyle,Christopher Morley
1939,2,"All This, and Heaven Too ",Rachel Field
1938,2,The Citadel,A. J. Cronin
1937,2,Northwest Passage,Kenneth Roberts
1936,2,The Last Puritan,George Santayana
1935,2,Vein of Iron,Ellen Glasgow
1934,2,Lamb in His Bosom,Caroline Miller
1933,2,As the Earth Turns,Gladys Hasty Carroll
1932,2,The Fountain,Charles Langbridge Morgan
1931,2,Shadows on the Rock,Willa Cather
1930,2,Exile,Warwick Deeping
1929,2,Dodsworth,Sinclair Lewis
1928,2,Wintersmoon,Hugh Walpole
1927,2,The Plutocrat,Booth Tarkington
1926,2,Gentlemen Prefer Blondes,Anita Loos
1925,2,The Constant Nymph,Margaret Kennedy
1924,2,The Plastic Age,Percy Marks
1923,2,His Children's Children,Arthur Train
1922,2,The Sheik,Edith M. Hull
1921,2,The Brimming Cup,Dorothy Canfield
1920,2,Kindred of the Dust,Peter B. Kyne
1919,2,The Arrow of Gold,Joseph Conrad
1918,2,The Tree of Heaven,May Sinclair
1917,2,The Light in the Clearing,Irving Bacheller
1916,2,When a Man's a Man,Harold Bell Wright
1915,2,A Far Country,Winston Churchill
1914,2,Pollyanna,Eleanor H. Porter
1913,2,V.V.'s Eyes,Henry Sydnor Harrison
1912,2,The Street Called Straight,Basil King
1911,2,The Prodigal Judge,Vaughan Kester
1910,2,A Modern Chronicle,Winston Churchill
1909,2,Katrine,Elinor Macartney Lane
1908,2,The Barrier,Rex Beach
1907,2,The Weavers,Gilbert Parker
1906,2,Lady Baltimore,Owen Wister
1905,2,Sandy,Alice Hegan Rice
1904,2,The Deliverance,Ellen Glasgow
1903,2,Gordon Keith,Thomas Nelson Page
1902,2,Mrs. Wiggs of the Cabbage Patch,Alice Caldwell Hegan (Alice Hegan Rice)
1901,2,Alice of Old Vincennes,Maurice Thompson
1900,2,Red Pottage,Mary Cholmondeley
1899,2,When Knighthood Was in Flower,Charles Major
1898,2,Hugh Wynne,Silas Weir Mitchell
1897,2,The Choir Invisible,James Lane Allen
1896,2,A Lady of Quality,Frances Hodgson Burnett
1895,2,Trilby,George du Maurier
2014,3,Divergent,Veronica Roth
2013,3,Killing Jesus,Bill O’Reilly and Martin Dugard
2012,3,Fifty Shades Darker,E.L. James
2011,3,The Best of Me,Nicholas Sparks
2010,3,The Help,Kathryn Stockett
2009,3,The Help,Kathryn Stockett
2008,3,The Host,Stephenie Meyer
2007,3,Playing For Pizza,John Grisham
2006,3,Dear John,Nicholas Sparks
2005,3,"Mary, Mary ",James Patterson
2004,3,The Last Juror,John Grisham
2003,3,The Five People You Meet in Heaven,Mitch Albom
2002,3,The Remnant,Jerry B. Jenkins and Tim LaHaye
2001,3,A Painted House,John Grisham
